X,Y,osm_id,code,fclass,name
-70.9864986,42.1921404,34665463,6101,rail,Plymouth Branch
-70.9859778,42.1914935,34665463,6101,rail,Plymouth Branch
-70.9856876,42.1911414,34665463,6101,rail,Plymouth Branch
-70.985567,42.1910016,34665463,6101,rail,Plymouth Branch
-70.9854554,42.190878,34665463,6101,rail,Plymouth Branch
-70.9853419,42.1907603,34665463,6101,rail,Plymouth Branch
-70.9852239,42.1906442,34665463,6101,rail,Plymouth Branch
-70.9851191,42.1905441,34665463,6101,rail,Plymouth Branch
-70.9850084,42.1904472,34665463,6101,rail,Plymouth Branch
-70.9848938,42.1903502,34665463,6101,rail,Plymouth Branch
-70.9847779,42.1902582,34665463,6101,rail,Plymouth Branch
-70.984651,42.190161,34665463,6101,rail,Plymouth Branch
-70.984526,42.1900711,34665463,6101,rail,Plymouth Branch
-70.9843888,42.1899758,34665463,6101,rail,Plymouth Branch
-70.9842376,42.189877,34665463,6101,rail,Plymouth Branch
-70.9840915,42.1897842,34665463,6101,rail,Plymouth Branch
-70.9839394,42.1896956,34665463,6101,rail,Plymouth Branch
-70.9837675,42.1896027,34665463,6101,rail,Plymouth Branch
-70.9835994,42.1895156,34665463,6101,rail,Plymouth Branch
-70.9834317,42.1894334,34665463,6101,rail,Plymouth Branch
-70.9832528,42.1893522,34665463,6101,rail,Plymouth Branch
-70.9830709,42.1892766,34665463,6101,rail,Plymouth Branch
-70.9828926,42.1892046,34665463,6101,rail,Plymouth Branch
-70.9827318,42.189144,34665463,6101,rail,Plymouth Branch
-70.9825498,42.1890807,34665463,6101,rail,Plymouth Branch
-70.9823676,42.1890223,34665463,6101,rail,Plymouth Branch
-70.9821867,42.1889679,34665463,6101,rail,Plymouth Branch
-70.9819956,42.1889156,34665463,6101,rail,Plymouth Branch
-70.9818159,42.188872,34665463,6101,rail,Plymouth Branch
-70.9816264,42.1888281,34665463,6101,rail,Plymouth Branch
-70.981442,42.1887912,34665463,6101,rail,Plymouth Branch
-70.9812513,42.1887544,34665463,6101,rail,Plymouth Branch
-70.981055,42.1887224,34665463,6101,rail,Plymouth Branch
-70.9808347,42.1886893,34665463,6101,rail,Plymouth Branch
-70.9806024,42.1886553,34665463,6101,rail,Plymouth Branch
-70.9779435,42.1882902,34665463,6101,rail,Plymouth Branch
-70.9777504,42.1882613,34665463,6101,rail,Plymouth Branch
-70.9775777,42.1882329,34665463,6101,rail,Plymouth Branch
-70.9773972,42.1882011,34665463,6101,rail,Plymouth Branch
-70.9772203,42.1881696,34665463,6101,rail,Plymouth Branch
-70.9770262,42.1881314,34665463,6101,rail,Plymouth Branch
-70.97687,42.1880996,34665463,6101,rail,Plymouth Branch
-70.9766942,42.1880597,34665463,6101,rail,Plymouth Branch
-70.9765186,42.188019,34665463,6101,rail,Plymouth Branch
-70.976322,42.1879692,34665463,6101,rail,Plymouth Branch
-70.9761413,42.1879216,34665463,6101,rail,Plymouth Branch
-70.9759631,42.1878709,34665463,6101,rail,Plymouth Branch
-70.9757973,42.1878213,34665463,6101,rail,Plymouth Branch
-70.9756252,42.1877677,34665463,6101,rail,Plymouth Branch
-70.975448,42.1877089,34665463,6101,rail,Plymouth Branch
-70.9752483,42.1876387,34665463,6101,rail,Plymouth Branch
-70.9750545,42.1875673,34665463,6101,rail,Plymouth Branch
-70.9748514,42.1874886,34665463,6101,rail,Plymouth Branch
-70.9746853,42.1874228,34665463,6101,rail,Plymouth Branch
-70.9745057,42.1873484,34665463,6101,rail,Plymouth Branch
-70.9743729,42.1872913,34665463,6101,rail,Plymouth Branch
-70.9742447,42.1872326,34665463,6101,rail,Plymouth Branch
-70.9741767,42.187201,34665463,6101,rail,Plymouth Branch
-70.9740279,42.1871299,34665463,6101,rail,Plymouth Branch
-70.9738768,42.1870541,34665463,6101,rail,Plymouth Branch
-70.9737336,42.1869806,34665463,6101,rail,Plymouth Branch
-70.9736086,42.1869141,34665463,6101,rail,Plymouth Branch
-70.9734588,42.1868321,34665463,6101,rail,Plymouth Branch
-70.9733049,42.1867448,34665463,6101,rail,Plymouth Branch
-70.9731687,42.1866637,34665463,6101,rail,Plymouth Branch
-70.9730187,42.1865711,34665463,6101,rail,Plymouth Branch
-70.972861,42.1864719,34665463,6101,rail,Plymouth Branch
-70.9726973,42.1863656,34665463,6101,rail,Plymouth Branch
-70.9725559,42.1862718,34665463,6101,rail,Plymouth Branch
-70.9724278,42.1861842,34665463,6101,rail,Plymouth Branch
-70.9723006,42.186093,34665463,6101,rail,Plymouth Branch
-70.9721802,42.1860054,34665463,6101,rail,Plymouth Branch
-70.9720501,42.1859059,34665463,6101,rail,Plymouth Branch
-70.9719029,42.1857861,34665463,6101,rail,Plymouth Branch
-70.9717871,42.1856886,34665463,6101,rail,Plymouth Branch
-70.9716502,42.1855699,34665463,6101,rail,Plymouth Branch
-70.9715325,42.1854618,34665463,6101,rail,Plymouth Branch
-70.9714129,42.185348,34665463,6101,rail,Plymouth Branch
-70.9712785,42.185208,34665463,6101,rail,Plymouth Branch
-70.9711606,42.185083,34665463,6101,rail,Plymouth Branch
-70.9710286,42.1849365,34665463,6101,rail,Plymouth Branch
-70.970906,42.1847938,34665463,6101,rail,Plymouth Branch
-70.9707883,42.1846503,34665463,6101,rail,Plymouth Branch
-70.9706595,42.1844923,34665463,6101,rail,Plymouth Branch
-70.9705083,42.1843009,34665463,6101,rail,Plymouth Branch
-70.9628723,42.1744858,34665463,6101,rail,Plymouth Branch
-70.7199232,41.9946947,34667016,6101,rail,Plymouth Branch
-70.7193705,41.994427,34667016,6101,rail,Plymouth Branch
-70.718921,41.9942144,34667017,6101,rail,Plymouth Branch
-70.7180277,41.9937808,34667017,6101,rail,Plymouth Branch
